"filename", "language", "JSON", "SQL", "JavaScript", "Properties", "Markdown", "comment", "blank", "total"
"d:\[01] Magang\Code\V1\.env", "Properties", 0, 0, 0, 18, 0, 6, 5, 29
"d:\[01] Magang\Code\V1\acamobiled-firebase-adminsdk.json", "JSON", 13, 0, 0, 0, 0, 0, 1, 14
"d:\[01] Magang\Code\V1\app.js", "JavaScript", 0, 0, 12, 0, 0, 0, 6, 18
"d:\[01] Magang\Code\V1\config\database1.js", "JavaScript", 0, 0, 21, 0, 0, 0, 5, 26
"d:\[01] Magang\Code\V1\config\database2.js", "JavaScript", 0, 0, 16, 0, 0, 0, 5, 21
"d:\[01] Magang\Code\V1\config\database3.js", "JavaScript", 0, 0, 16, 0, 0, 0, 5, 21
"d:\[01] Magang\Code\V1\controllers\global_controller.js", "JavaScript", 0, 0, 95, 0, 0, 0, 6, 101
"d:\[01] Magang\Code\V1\controllers\notification_controller.js", "JavaScript", 0, 0, 214, 0, 0, 0, 18, 232
"d:\[01] Magang\Code\V1\controllers\portal_controller.js", "JavaScript", 0, 0, 155, 0, 0, 0, 22, 177
"d:\[01] Magang\Code\V1\controllers\room_controller.js", "JavaScript", 0, 0, 332, 0, 0, 4, 31, 367
"d:\[01] Magang\Code\V1\controllers\user_attendance_controller.js", "JavaScript", 0, 0, 448, 0, 0, 10, 51, 509
"d:\[01] Magang\Code\V1\controllers\user_claim_controller.js", "JavaScript", 0, 0, 168, 0, 0, 1, 24, 193
"d:\[01] Magang\Code\V1\controllers\user_controller.js", "JavaScript", 0, 0, 285, 0, 0, 1, 40, 326
"d:\[01] Magang\Code\V1\controllers\user_leave_controller.js", "JavaScript", 0, 0, 140, 0, 0, 0, 18, 158
"d:\[01] Magang\Code\V1\mdbacamobile_20231123_1155.sql", "SQL", 0, 156, 0, 0, 0, 141, 70, 367
"d:\[01] Magang\Code\V1\mdbportalaca_20231123_1155.sql", "SQL", 0, 114, 0, 0, 0, 79, 41, 234
"d:\[01] Magang\Code\V1\middleware\logger.js", "JavaScript", 0, 0, 10, 0, 0, 0, 3, 13
"d:\[01] Magang\Code\V1\middleware\response.js", "JavaScript", 0, 0, 22, 0, 0, 0, 5, 27
"d:\[01] Magang\Code\V1\middleware\verify_device.js", "JavaScript", 0, 0, 0, 0, 0, 28, 6, 34
"d:\[01] Magang\Code\V1\middleware\verify_token.js", "JavaScript", 0, 0, 46, 0, 0, 0, 10, 56
"d:\[01] Magang\Code\V1\models\global_model.js", "JavaScript", 0, 0, 59, 0, 0, 2, 11, 72
"d:\[01] Magang\Code\V1\models\notification_model.js", "JavaScript", 0, 0, 128, 0, 0, 0, 22, 150
"d:\[01] Magang\Code\V1\models\portal_model.js", "JavaScript", 0, 0, 133, 0, 0, 1, 16, 150
"d:\[01] Magang\Code\V1\models\room_model.js", "JavaScript", 0, 0, 286, 0, 0, 2, 37, 325
"d:\[01] Magang\Code\V1\models\user_attendance_model.js", "JavaScript", 0, 0, 117, 0, 0, 1, 17, 135
"d:\[01] Magang\Code\V1\models\user_claim_model.js", "JavaScript", 0, 0, 92, 0, 0, 0, 14, 106
"d:\[01] Magang\Code\V1\models\user_leave_model.js", "JavaScript", 0, 0, 97, 0, 0, 0, 14, 111
"d:\[01] Magang\Code\V1\models\user_model.js", "JavaScript", 0, 0, 198, 0, 0, 1, 29, 228
"d:\[01] Magang\Code\V1\package-lock.json", "JSON", 8269, 0, 0, 0, 0, 0, 1, 8270
"d:\[01] Magang\Code\V1\package.json", "JSON", 29, 0, 0, 0, 0, 0, 1, 30
"d:\[01] Magang\Code\V1\public\docs\documentation.md", "Markdown", 0, 0, 0, 0, 686, 0, 385, 1071
"d:\[01] Magang\Code\V1\routes\api.js", "JavaScript", 0, 0, 60, 0, 0, 9, 12, 81
"d:\[01] Magang\Code\V1\utils\globals.js", "JavaScript", 0, 0, 24, 0, 0, 0, 4, 28
"d:\[01] Magang\Code\V1\utils\validation.js", "JavaScript", 0, 0, 78, 0, 0, 4, 14, 96
"Total", "-", 8311, 270, 3252, 18, 686, 290, 949, 13776
